"period","source","id","Longitude","Latitude","bioc_1","bioc_2","bioc_3","bioc_4","bioc_5","bioc_6","bioc_7","bioc_8","bioc_9","bioc_10","bioc_11","bioc_12","bioc_13","bioc_14","bioc_15","bioc_16","bioc_17","bioc_18","bioc_19","bioc_21","bioc_22","bioc_23","bioc_24","bioc_25","bioc_26","bioc_27","bioc_28","bioc_29","t10","cdd"
"Baseline","Bunn","1213",-85.72916175,13.02083714,25.4563083648682,8.10433387756348,71.6341247558594,89.4009704589844,31.7931957244873,20.4796867370605,11.3135089874268,25.359338760376,26.0280704498291,26.5738754272461,24.2518062591553,1658.66198730469,268.920166015625,16.2697811126709,71.2282485961914,724.646423339844,67.2838745117188,214.296401977539,230.514831542969,481.936462402344,28.0769462585449,62.6302833557129,29.1902236938477,33.4400596618652,100.456893920898,166.113052368164,171.384628295898,103.622009277344,0,134.799999713898
"Baseline","Bunn","1214",-85.60416174,13.02083714,26.1801452636719,7.97144460678101,71.2693557739258,88.8001708984375,32.3913993835449,21.2064456939697,11.1849536895752,26.0696830749512,26.7600212097168,27.3015022277832,24.9939804077148,1524.62084960938,242.091400146484,18.0778045654297,70.3636093139648,661.479370117188,64.2658843994141,200.222885131836,214.722717285156,491.51416015625,26.056079864502,62.5875091552734,31.4359245300293,31.1515846252441,105.556381225586,165.386291503906,171.738662719727,104.721694946289,0,133.750000238419
"Baseline","Bunn","1215",-85.56249507,13.02083714,26.0128784179688,7.88769340515137,69.8745269775391,93.8931198120117,32.282886505127,20.9945182800293,11.2883682250977,25.8321170806885,26.7135848999023,27.2531147003174,24.794116973877,1515.52600097656,237.669769287109,20.0073757171631,69.3378753662109,650.327453613281,67.5749282836914,195.221710205078,216.317306518555,485.694091796875,25.8534049987793,61.709888458252,31.4975891113281,30.2122993469238,105.136161804199,162.700119018555,169.588668823242,103.254257202148,0,131.550001144409
"Baseline","Bunn","1216",-85.43749507,13.02083714,26.8603610992432,7.75341510772705,67.0851135253906,104.283950805664,33.3182144165039,21.7606353759766,11.5575790405273,26.9854068756104,27.8301410675049,28.3296527862549,25.6235370635986,1925.84985351562,324.898010253906,25.0600070953369,69.4895858764648,894.644836425781,88.2915115356445,216.797119140625,297.326324462891,459.346893310547,31.6506500244141,61.5288467407227,22.9296741485596,38.5991744995117,81.9336242675781,162.024383544922,168.939910888672,99.2686309814453,0,123.700000286102
"Baseline","Bunn","1217",108.3541817,13.02083714,25.9388103485107,7.31781339645386,57.3434371948242,132.831466674805,32.7972106933594,20.035831451416,12.7613792419434,26.0012855529785,25.211986541748,27.5080490112305,24.4372577667236,1911.46301269531,315.5810546875,11.0593690872192,73.5627899169922,846.935119628906,55.3013458251953,560.410461425781,61.9774131774902,419.120635986328,34.2822532653809,57.8825798034668,22.280948638916,35.6016311645508,71.7510833740234,143.482223510742,121.288070678711,115.989677429199,0,140.750000953674
"Baseline","Bunn","1218",108.3958484,13.02083714,25.9388103485107,7.31781339645386,57.3434371948242,132.831466674805,32.7972106933594,20.035831451416,12.7613792419434,26.0012855529785,25.211986541748,27.5080490112305,24.4372577667236,1911.46301269531,315.5810546875,11.0593690872192,73.5627899169922,846.935119628906,55.3013458251953,560.410461425781,61.9774131774902,419.120635986328,34.2822532653809,57.8825798034668,22.280948638916,35.6016311645508,71.7510833740234,143.482223510742,121.288070678711,115.989677429199,0,140.750000953674
"Baseline","Bunn","1219",-85.81249509,13.10417048,24.7062969207764,8.14506912231445,71.1522369384766,93.5275268554688,31.1285438537598,19.6811599731445,11.4473838806152,24.6283683776855,25.2950897216797,25.8764133453369,23.4406337738037,1710.10070800781,250.430770874023,24.0214004516602,67.4210052490234,726.131958007812,92.8023223876953,224.824615478516,236.490097045898,472.251281738281,28.5013732910156,61.4937744140625,28.951976776123,32.5417976379395,98.0314178466797,163.404479980469,168.961288452148,101.796691894531,0,128.800001144409
"Baseline","Bunn","122",-47.47915976,-20.60416461,22.8045425415039,9.97127437591553,66.0007934570312,174.762451171875,29.2748050689697,14.1669950485229,15.1078100204468,24.4205265045166,20.5335083007812,24.4437465667725,20.2979335784912,1613.07531738281,314.880889892578,15.0977077484131,81.1247711181641,839.182189941406,54.0262413024902,728.994506835938,89.7326583862305,512.255615234375,16.9218711853027,55.2343788146973,34.4760360717773,20.7583427429199,111.756469726562,124.894622802734,117.29280090332,111.810165405273,3.60000000149012,149.949999809265
"Baseline","Bunn","1220",-85.77082842,13.10417048,25.5991897583008,8.05881023406982,71.3305969238281,90.2744369506836,31.9293804168701,20.6315498352051,11.297830581665,25.5006427764893,26.1828536987305,26.7313995361328,24.3837032318115,1667.05944824219,244.770584106445,25.1614475250244,67.588020324707,708.553955078125,91.2357025146484,229.5068359375,223.863311767578,480.332672119141,27.6977481842041,62.3193969726562,30.0862579345703,32.2331390380859,100.946655273438,164.772094726562,170.597640991211,103.298675537109,0,128.450001239777
"Baseline","Bunn","1221",-85.52082841,13.10417048,26.4159698486328,7.67605686187744,68.5426025390625,97.9428482055664,32.6426582336426,21.4437007904053,11.1989574432373,26.1638221740723,27.2175903320312,27.7555770874023,25.188627243042,1571.54125976562,246.130447387695,18.555212020874,69.6634292602539,672.226806640625,67.6621780395508,206.70947265625,225.157989501953,474.184478759766,26.3769760131836,60.7848510742188,30.6243286132812,30.1605224609375,102.366073608398,159.75325012207,166.422393798828,100.447555541992,0,130.299997806549
"Baseline","Bunn","1222",-86.0624951,13.14583715,24.6797256469727,8.61436176300049,69.4646530151367,98.716423034668,31.3899707794189,18.988899230957,12.4010715484619,24.6738471984863,24.3346385955811,25.8774280548096,23.3315334320068,1274.50378417969,237.238296508789,8.67705154418945,82.3223190307617,620.338012695312,47.6130905151367,182.176574707031,118.324676513672,523.077697753906,24.9436111450195,64.1603317260742,30.4089851379395,33.7513465881348,108.14916229248,151.661071777344,178.261596679688,114.806854248047,0,142.900002002716
"Baseline","Bunn","1223",-85.97916176,13.14583715,23.9213485717773,8.40470790863037,69.2715225219727,98.8904266357422,30.5480518341064,18.415060043335,12.1329917907715,23.8991355895996,24.4954071044922,25.1373443603516,22.5705528259277,1520.22912597656,238.833221435547,19.4072456359863,69.260498046875,656.948791503906,73.8552627563477,180.754898071289,218.132308959961,488.701965332031,27.3840675354004,61.9964866638184,29.3988380432129,32.5976486206055,101.818405151367,167.07502746582,172.566070556641,104.804229736328,0,130.800001144409
"Baseline","Bunn","1224",-85.85416176,13.14583715,23.2076721191406,8.24087047576904,69.6407241821289,98.8376770019531,29.7489795684814,17.9155731201172,11.8334064483643,23.3041343688965,23.8117485046387,24.4410934448242,21.8655548095703,1684.31518554688,257.335998535156,20.2839946746826,68.2878341674805,720.017333984375,87.824592590332,207.762619018555,234.993072509766,461.813446044922,28.850772857666,60.0277824401855,27.801248550415,32.2265319824219,95.2439804077148,160.159576416016,165.736755371094,99.4949188232422,0,126.25
"Baseline","Bunn","1225",-85.72916175,13.14583715,25.9913158416748,7.99619197845459,71.2460708618164,88.8361663818359,32.258846282959,21.0355014801025,11.2233448028564,26.3055267333984,26.5703029632568,27.1068096160889,24.7996196746826,1665.93615722656,253.597152709961,19.4755592346191,71.0392684936523,732.095825195312,69.3650054931641,205.972686767578,228.880386352539,480.938446044922,28.5547218322754,62.8553657531738,29.1843433380127,33.6710205078125,95.3178176879883,165.872360229492,172.376068115234,103.045074462891,0,131.350001096725
